"";"longitude";"latitude";"PA";"wc2.1_30s_bio_4";"wc2.1_30s_bio_9";"wc2.1_30s_bio_14"
"1";10,4582;53,225;1;628,358093261719;4,31666660308838;38
"2";10,1248;53,325;1;624,973205566406;4,38333320617676;43
"3";10,5415;53,275;1;625,766662597656;4,18333339691162;40
"4";10,6248;52,875;1;626,906005859375;3,98333334922791;46
"5";10,49;48,84;1;696,071655273438;1,28333342075348;47
"6";9,91;50,26;1;670,160949707031;7,73333358764648;57
"7";13,2484;54,1484;1;635,412658691406;3,36666679382324;36
"8";11,0415;50,0749;1;676,247985839844;3,5;50
"9";10,43;48,76;1;686,981079101562;0,616666674613953;53
"10";10,73;48,61;1;700,301879882812;1,13333332538605;43
"11";11,04;49,72;1;673,160217285156;4,33333349227905;45
"12";11,12;49,97;1;671,169250488281;3;57
"13";6,230694;50,848;1;569,71484375;5,66666650772095;54
"14";8,537235;48,997498;1;657,085388183594;6,08333301544189;58
"15";11,097816;53,091221;1;641,720458984375;4,56666660308838;35
"16";8,625188;49,678948;1;663,729125976562;6,13333320617676;47
"17";8,646675;50,575973;1;656,378967285156;5,36666679382324;38
"18";11,516713;50,87533;1;662,594787597656;1,39999997615814;41
"19";8,033512;51,752159;1;588,866394042969;5,11666679382324;35
"20";12,44981;50,998216;1;686,511108398438;4,66666650772095;34
"21";7,634994;51,628169;1;590,663940429688;5,53333330154419;51
"22";12,748484;50,870534;1;693,53125;3,81666660308838;40
"23";10,946071;49,683629;1;675,720031738281;4,20000028610229;46
"24";11,999388;50,664642;1;669,519836425781;0,699999988079071;40
"25";8,881459;48,168661;1;644,354309082031;-0,550000071525574;71
"26";13,399753;52,14343;1;686,153076171875;4,40000009536743;31
"27";9,669802;47,559153;1;680,984680175781;2,54999995231628;67
"28";13,618978;52,281951;1;694,108337402344;4,44999980926514;32
"29";10,60344;52,625488;1;629,575805664062;4,36666679382324;41
"30";8,210594;53,165647;1;591,401000976562;4,94999980926514;42
"31";13,186604;51,836491;1;707,13720703125;4,80000019073486;32
"32";8,698014;49,228861;1;662,403076171875;6,18333339691162;55
"33";9,26288;48,71456;1;657,627746582031;2,36666655540466;41
"34";7,324717;52,51755;1;581,148803710938;5,33333349227905;45
"35";12,098346;50,393562;1;673,108337402344;3;43
"36";8,54695;50,924382;1;622,451171875;10,8000001907349;63
"37";7,146167;51,938634;1;582,342956542969;5,38333320617676;50
"38";9,342078;52,10784;1;609,818664550781;5,28333330154419;45
"39";9,719118;53,574126;1;610,497009277344;4,61666679382324;42
"40";8,944009;48,793674;1;655,506225585938;2,10000014305115;44
"41";11,262399;50,681905;1;669,441772460938;1,55000007152557;35
"42";13,39509;52,513368;1;695,617614746094;5,14999961853027;36
"43";8,906681;49,138171;1;649,707946777344;5,66666650772095;53
"44";9,180708;48,777127;1;657,226745605469;3;35
"45";6,760262;51,211692;1;590,771179199219;6,48333358764648;51
"46";9,800869;52,31364;1;625,846557617188;5,15000009536743;40
"47";7,688038;51,523818;1;591,979858398438;5,09999990463257;55
"48";10,245289;51,742179;1;630,466430664062;3,76666665077209;48
"49";10,48;48,66;1;695,002746582031;1,13333332538605;46
"50";11,99;48,42;1;706,431884765625;1,20000004768372;46
"51";12,29;47,97;1;703,437866210938;-0,316666692495346;57
"52";10,62;49,37;1;699,884582519531;4,25;52
"53";12,87;47,77;1;671,265625;0,816666722297668;89
"54";12,699634;52,14399;1;688,410949707031;4,36666679382324;35
"55";12,576349;52,136654;1;687,434265136719;4,16666650772095;36
"56";6,37472;51,2249;1;577,276123046875;5,98333358764648;47
"57";6,37472;51,6249;1;570,284851074219;5,75;43
"58";10,49;48,93;1;696,65380859375;1,16666662693024;50
"59";10,98;48,81;1;689,229919433594;0,666666686534882;49
"60";10,56;48,61;1;699,247863769531;1,39999985694885;41
"61";11,79;47,87;1;674,807495117188;1,16666662693024;76
"62";11,12;49,72;1;678,909973144531;4,38333320617676;45
"63";11,46;49,32;1;706,598754882812;3,79999995231628;58
"64";10,62;49,12;1;692,319763183594;1,18333327770233;51
"65";10,62;49,22;1;701,317321777344;1,38333344459534;51
"66";6,915036;52,176736;1;NA;NA;NA
"67";12,87;47,52;1;569,070739746094;-4,61666679382324;84
"68";9,96;47,57;1;668,671813964844;0,183333322405815;104
"69";6,5;50,583332;1;576,30810546875;10,6000003814697;63
"70";11,13;48,14;1;679,810607910156;0,883333325386047;51
"71";12,46;47,92;1;671,130187988281;1,58333337306976;64
"72";12,37;48,07;1;695,763549804688;0,850000023841858;57
"73";11,96;47,92;1;693,852355957031;-0,0166666507720947;60
"74";12,37;47,92;1;701,300170898438;1,03333342075348;62
"75";11,87;47,87;1;685,623352050781;1,38333332538605;69
"76";12,79;47,57;1;597,880065917969;-2,58333349227905;71
"77";9,87;47,62;1;668,652404785156;0,716666579246521;91
"78";6,449167;50,937222;1;570,606201171875;5,16666650772095;54
"79";10,97;48,88;1;683,323547363281;0,566666662693024;51
